Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Yeats2	Plppr4			Map1a	Map3k5	Afdn	Iqsec2	Exph5		Lzic	Snap25	Mobp	Mpv17
Tjp1	Arhgap10			Grm4	Rap1gap2	Wwc1	Cemip2	Eif4h		Scrib	Nin	Zdhhc5	Vps35
Lrrtm4	Lasp1			Asrgl1	Ankrd34b	Shisa9	C2cd4c	Anks1a		Nos1	Slc4a10	Sf3a2	Ncoa5
Trip12	Dlg1			Magi3	Lysmd2	Sorbs3	Spata2	Wwc2		Tdrd3	Tbcb	Igsf21	Xpot
Vps37a	Bcar3			Ppp1r16b	Gabra3	Nck2	Shisa6	Tnrc6b		Dlg3	Scn3a	Tbcb	Pspc1
Atp6v1d	Neto1			Fam171b	Ankrd28	Numb	Arc	Gigyf2		Mcf2l	Plppr1	Cemip2	Tomm40l
Spata2	Ajm1			Epb41l4b	Prrt1	Kcnma1	Frmpd4	Nck1		Zfyve19	Phf24	Sgsm2	Hnrnpf
Mink1	Riox1			Lzts3	Mff	Cdc42ep4	Dlgap1	Shisa7		Jcad	Septin7	Panx2	Tkt
Gria2	Begain			Flrt1	Ubap2	Bcar3	Kcnma1	Fam81a		Tnrc6c	Sgip1	Pigs	H4c1
Tnik	Tbkbp1			Mical3	Brinp1	Dock1	Slc8a1	Trim9		Lrch2	Sec23a	Plppr3	Far1
Tln2	Dcp1b			Zdhhc8	Gabra5	Dcc	Map4k3	Eif4enif1		Grb2	Pym1	Fam171b	Pabpc1
Adgrb2	P33monox			Pcdh18	Hnrnpa3	Erc1	Neto2	Plekha6		Sptb	Stmn1	Pebp1	Parp1
Grik2	Tanc2			Bcas3	Kirrel3	Igsf9b	Plxna1	Top3b		Togaram1	Ppp1r16a	Pigt	Rpl27
Mlip	Dock3			Crip2	Lrrn1	Unk	Numb	Ppp1r13b		Kcnq3	Stx1b	Iqsec2	Gatad2b
Cplx1	Sh3rf3			Gria3	Gga3	Vps25	Asap1	Kiaa1549		Arhgap35	Kcnb1	Tmcc2	Hp1bp3
Sorbs1	Fnbp1l			Adgrb3	Gabrb3	Ctnnd1	Erbin	Map4k3		Pak3	Akap5	Ebag9	Sf3b1
Plppr4	Gria3			Grin2a	Tenm2	Whrn	Begain	Sh3rf3		Vps35	Snap29	Stx1b	Prpf40b
Tanc2	Bcar1			H2afy2	Btbd11	Srcin1	Dab2ip	Tbkbp1		Tjp1	Septin3	Tenm4	Hcfc1
